PEDESTRIANS,CYCLISTS
14:41,21:53
16:30,22:40
18:14,18:23
15:52,20:20
13:53,13:58
00:08,17:18
14:02,13:56
07:08,18:41
14:10,09:39
10:27,16:38
10:50,21:32
19:45,14:03
20:50,17:15
17:58,07:23
15:20,13:32
11:35,18:30
19:20,13:00
11:30,06:47
15:20,14:56
17:37,09:41
15:21,17:24
11:07,19:53
01:53,15:15
13:25,11:57
21:21,20:08
17:25,13:29
06:43,16:50
17:08,18:28
23:10,22:35
12:32,06:42
06:50,07:25
07:00,22:38
16:51,17:29
16:02,15:10
20:21,07:24
15:23,06:42
18:09,15:16
18:13,20:58
17:20,06:45
12:10,13:41
17:10,07:36
07:23,16:59
18:06,07:15
08:48,12:11
19:17,13:33
16:25,00:40
18:12,10:13
18:22,17:53
07:31,15:18
14:13,07:35
10:00,05:35
17:12,14:54
17:13,13:02
16:59,17:17
16:58,07:15
12:06,16:50
18:37,19:44
15:49,07:12
16:28,07:55
20:07,07:33
08:53,12:47
16:22,11:38
22:47,19:25
14:29,14:30
15:33,17:14
09:43,07:58
19:00,17:45
19:12,14:53
13:28,09:36
07:53,16:10
18:29,18:55
13:48,12:19
14:36,15:00
06:46,20:31
17:03,18:31
14:58,12:02
08:27,18:10
18:15,07:24
20:07,13:36
17:30,21:50
10:44,18:50
08:26,18:32
16:10,11:08
08:37,17:37
18:18,21:14
07:58,12:20
14:12,20:08
18:56,13:33
07:16,18:07
08:39,17:30
06:09,17:53
15:02,07:18
15:58,18:16
13:34,19:36
17:25,14:31
05:55,09:41
08:08,18:21
16:28,19:52
09:31,11:30
08:21,20:27
18:47,19:09
17:43,18:51
20:02,17:10
18:07,20:30
10:25,05:55
18:00,18:07
11:56,19:01
19:20,16:32
22:45,19:40
08:41,07:09
15:41,08:23
14:12,17:06
07:45,07:31
15:58,07:33
17:41,12:43
18:45,21:00
16:15,22:14
19:09,19:38
17:01,18:36
07:23,20:05
17:20,14:46
23:22,17:05
17:02,14:56
10:00,08:33
13:57,14:50
17:27,08:59
17:05,08:16
21:24,16:22
23:50,16:23
19:34,18:04
08:29,16:20
07:43,07:20
08:25,15:54
17:24,07:41
17:13,16:40
23:20,10:45
13:29,10:56
17:02,08:19
14:39,15:30
06:53,09:30
17:50,12:17
09:02,10:10
08:23,18:52
20:47,18:10
16:01,19:48
17:05,10:26
17:43,06:50
19:39,15:45
16:50,18:36
23:05,07:10
16:19,07:16
00:08,19:00
12:53,15:10
13:06,09:28
17:30,15:57
15:33,17:36
16:35,16:10
17:00,13:47
13:41,17:25
13:11,17:06
08:37,17:06
20:21,16:26
17:40,07:45
13:03,18:47
08:58,07:53
11:15,15:36
07:36,06:48
16:11,12:30
15:01,17:37
10:27,16:25
15:19,08:31
18:44,14:20
12:07,16:16
19:11,13:07
14:29,14:50
19:08,20:57
20:31,18:55
12:23,14:46
17:47,06:37
18:10,19:28
18:04,14:58
07:50,14:28
22:01,09:28
12:36,13:08
18:49,17:50
16:50,17:46
11:46,16:03
18:54,09:56
20:30,23:23
19:34,14:29
20:44,12:44
16:38,19:41
19:46,23:26
17:36,17:06
08:40,16:19
07:50,08:26
18:57,17:00
19:02,10:48
18:02,15:15
06:32,11:15
18:00,20:26
17:25,15:19
08:09,13:40
16:48,15:39
17:10,
17:59,
17:51,
19:40,
12:30,
12:45,
20:57,
17:45,
07:10,
19:30,
19:12,
18:48,
11:56,
07:53,
07:46,
10:35,
18:00,
07:48,
17:57,
16:43,
18:21,
07:31,
06:50,
18:41,
19:45,
17:05,
15:07,
18:30,
08:23,
11:32,
17:01,
