DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2,Ano
"05/01/202
0",21:53,603,7,HE717,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
VILA IZABEL, CURITIBA","R. PROF. SEBASTIÃO PARANÁ, 6 -
VILA IZABEL, CURITIBA - PR,
80320-070, BRASIL","RUA PROFESSOR DÁRIO VELOSO, 21 -
VILA IZABEL, CURITIBA - PR,
80320-050, BRASIL",2020
"09/01/202
0",22:40,304,5,DL303,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA ARYTON SENNA DA SILVA,
PINHAIS, PINHAIS","R. JERÔNIMO BUSATO FILHO, 470 -
ESTÂNCIA PINHAIS, PINHAIS - PR,
83323-090, BRASIL","R. LAURA DOS SANTOS, 12 -
ESTÂNCIA PINHAIS, PINHAIS - PR,
83323-092, BRASIL",2020
"16/01/202
0",18:23,500,11,GE718,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO, CURITIBA","AV. VISC. DE GUARAPUAVA, 2858 -
CENTRO, CURITIBA - PR,
80010-100, BRASIL","R. ANDRÉ DE BARROS, 282 -
CENTRO, CURITIBA - PR,
80010-080, BRASIL",2020
"30/01/202
0",20:20,505,6,EL305,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","R. WALDEMAR LOUREIRO CAMPOS,
1363F - BOQUEIRÃO, CURITIBA -
PR, 81650-200, BRASIL","RUA ITALINO PERUFFO, 113 -
BOQUEIRÃO, CURITIBA - PR,
81650-330, BRASIL",2020
"05/02/202
0",13:58,619,7,HI017,ATROPELAMENTO,CICLISTA,0,0,"RUA ERNESTO GERMANO FRANCISCO
HANNEMANN, TATUQUARA, CURITIBA","R. ARCÉSIO DE BARROS LIMA, 26 -
TATUQUARA, CURITIBA - PR,
81480-246, BRASIL","RUA MONSENHOR ALFREDO DE ARRUDA
CÂMARA, 1 - TATUQUARA, CURITIBA
- PR, 81020-490, BRASIL",2020
"06/02/202
0",17:18,680,7,HA028,ATROPELAMENTO,CICLISTA,1,0,"RUA ÂNGELO TOZIM, VILA RURBANA,
CAMPO DE SANTANA","MIGUEL FURMANN, 15 - CAMPO DE
SANTANA, CURITIBA - PR,
81020-490, BRASIL","TRAVESSA HERMINHO CUNHA, 7 -
CAMPO DE SANTANA, CURITIBA - PR,
81490-255, BRASIL",2020
"11/02/202
0",13:56,541,11,GC014,ATROPELAMENTO,CICLISTA,1,0,"RUA CIDADE DE PALMAS, SÍTIO
CERCADO, CURITIBA","R. DAVID TOWS, 475 - SÍTIO
CERCADO, CURITIBA - PR,
81920-380, BRASIL","R. MILTON MIRAMIR VISINONI, 575
- SÍTIO CERCADO, CURITIBA - PR,
81920-070, BRASIL",2020
"15/02/202
0",18:41,303,9,LE705,ATROPELAMENTO,CICLISTA,1,0,"RUA DEPUTADO HEITOR ALENCAR
FURTADO, CAMPINA DO SIQUEIRA,
CURITIBA","R. GEN. MÁRIO TOURINHO, 1810 -
CAMPINA DO SIQUEIRA, CURITIBA -
PR, 80740-000, BRASIL","R. MAJ. HEITOR GUIMARÃES, 1740 -
SEMINÁRIO, CURITIBA - PR,
80740-060, BRASIL",2020
"28/02/202
0",09:39,700,7,HL318,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA REPUBLICA ARGENTINA,
ÁGUA VERDE, CURITIBA","R. GOIÁS, 18 - ÁGUA VERDE,
CURITIBA - PR, 80620-060, BRASIL","R. MATO GROSSO, 30 - ÁGUA VERDE,
CURITIBA - PR, 80620-070, BRASIL",2020
"04/03/202
0",16:38,471,6,EA204,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO, CURITIBA","AV. VISC. DE GUARAPUAVA, 2822 -
CENTRO, CURITIBA - PR,
80010-130, BRASIL","R. ANDRÉ DE BARROS, 296 -
CENTRO, CURITIBA - PR,
80010-080, BRASIL",2020
