DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"10/01/202
5",09:28,515,006,EI004,ATROPELAMENTO,CICLISTA,0,0,"RUA DOUTOR JÚLIO CÉSAR RIBEIRO
DE SOUZA, HAUER, CURITIBA","AVENIDA MARECHAL FLORIANO
PEIXOTO, HAUER, CURITIBA","RUA ANNE FRANK, BOQUEIRÃO,
CURITIBA"
"14/01/202
5",13:08,653,007,HA022,ATROPELAMENTO,CICLISTA,1,0,"RUA ANTÔNIO PASTRE, CIDADE
INDUSTRIAL DE CURITIBA, CURITIBA","RUA ALBERTO FERREIRA, CIDADE
INDUSTRIAL DE CURITIBA, CURITIBA","RUA SÃO PERPÉTUO, CIDADE
INDUSTRIAL DE CURITIBA, CURITIBA"
"16/01/202
5",17:50,623,007,HI047,ATROPELAMENTO,CICLISTA,1,0,"RUA FRANCISCO ADER, NOVO MUNDO,
CURITIBA","RUA ANTÔNIO GASPARIN, NOVO
MUNDO, CURITIBA","AVENIDA REPÚBLICA ARGENTINA,
NOVO MUNDO, CURITIBA"
"21/01/202
5",17:46,274,003,BI861,ATROPELAMENTO,CICLISTA,2,0,"RUA PROFESSOR LEONARDO COBBE,
BARREIRINHA, CURITIBA","RUA LÚCIA DECHANDT, ABRANCHES,
CURITIBA","RUA CARMELINA CAVASSIN,
BARREIRINHA, CURITIBA"
"23/01/202
5",16:03,707,007,HL496,ATROPELAMENTO,CICLISTA,1,0,"LINHA VERDE ( BR - 476 ), PRADO
VELHO, CURITIBA","RUA IMACULADA CONCEIÇÃO, PRADO
VELHO, CURITIBA","RUA FRANCISCO NUNES ( ALUIZIO
FINZETTO ), PRADO VELHO,
CURITIBA"
"11/02/202
5",09:56,707,007,HL495,ATROPELAMENTO,CICLISTA,1,0,"84, RUA LOURENÇO PINTO, CENTRO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
80010-080, BRASIL","RUA ANDRÉ DE BARROS, CENTRO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
80010-080, BRASIL","RUA PEDRO IVO, CENTRO, CURITIBA,
REGIÃO GEOGRÁFICA IMEDIATA DE
CURITIBA, REGIÃO METROPOLITANA
DE CURITIBA, REGIÃO GEOGRÁFICA
INTERMEDIÁRIA DE CURITIBA,
PARANÁ, REGIÃO SUL, 80010-080,
BRASIL"
"18/02/202
5",23:23,303,011,GE709,ATROPELAMENTO,CICLISTA,1,0,"RUA VISCONDE DE NACAR, CENTRO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
80410-120, BRASIL","ALAMEDA DOUTOR CARLOS DE
CARVALHO, CENTRO, CURITIBA,
REGIÃO GEOGRÁFICA IMEDIATA DE
CURITIBA, REGIÃO METROPOLITANA
DE CURITIBA, REGIÃO GEOGRÁFICA
INTERMEDIÁRIA DE CURITIBA,
PARANÁ, REGIÃO SUL, 80430-180,
BRASIL","AVENIDA VICENTE MACHADO, CENTRO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
80410-201, BRASIL"
"24/02/202
5",14:29,685,007,HI614,ATROPELAMENTO,CICLISTA,1,0,"RUA PRESIDENTE JOÃO GOULART,
TATUQUARA, CURITIBA","RUA DOUTOR JAIME GASPARIN,
JARDIM TIMBORI, TATUQUARA,
CURITIBA","RUA AFFONSO GERALDO CROCETTI,
TATUQUARA, CURITIBA"
"01/03/202
5",12:44,700,003,BL358,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","RUA PEDRO BONAT, NOVO MUNDO,
CURITIBA","RUA CATARINA SCOTTI, NOVO MUNDO,
CURITIBA"
"07/03/202
5",19:41,X37,007,HI600,ATROPELAMENTO,CICLISTA,1,0,RUA ENETTE DUBARD,RUA CARLOS MUNHOZ DA ROCHA,"RUA ANÍZIA MARIA DA CONCEIÇÃO
FERREIRA"
"14/03/202
5",23:26,350,011,GE604,ATROPELAMENTO,CICLISTA,1,0,LINHA VERDE,"RUA MAJ. VICENTE DE OLIVEIRA
MELLO",RUA MARIA FICINSKA
"19/03/202
5",17:06,023,007,HL600,ATROPELAMENTO,CICLISTA,1,0,RUA PAULO SETÚBAL,RUA IRMÃ FLÁVIA BORLET,RUA EVARISTO DE VEIGA
"25/03/202
5",16:19,550,007,HE718,ATROPELAMENTO,CICLISTA,2,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","RUA LOURENÇO PINTO, CENTRO,
CURITIBA","AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO HISTÓRICO,
CENTRO, CURITIBA"
"02/04/202
5",08:26,350,011,GE611,ATROPELAMENTO,CICLISTA,1,0,"LINHA VERDE, XAXIM, CURITIBA,
REGIÃO GEOGRÁFICA IMEDIATA DE
CURITIBA, REGIÃO METROPOLITANA
DE CURITIBA, REGIÃO GEOGRÁFICA
INTERMEDIÁRIA DE CURITIBA,
PARANÁ, REGIÃO SUL, 81810-440,
BRASIL","AVENIDA BRASÍLIA, NOVO MUNDO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
81020-220, BRASIL","RUA JOSÉ REBELLATO, XAXIM,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
81810-440, BRASIL"
"04/04/202
5",17:00,203,003,BD141,ATROPELAMENTO,CICLISTA,1,0,TESTE,,
"26/04/202
5",10:48,542,011,GI047,ATROPELAMENTO,CICLISTA,0,0,"RUA TIJUCAS DO SUL, SÍTIO
CERCADO, CURITIBA, REGIÃO
GEOGRÁFICA IMEDIATA DE CURITIBA,
REGIÃO METROPOLITANA DE
CURITIBA, REGIÃO GEOGRÁFICA
INTERMEDIÁRIA DE CURITIBA,
PARANÁ, REGIÃO SUL, 81925-070,
BRASIL","RUA DOUTOR LAURO GENTIO PORTUGAL
TAVARES, SÍTIO CERCADO,
CURITIBA, REGIÃO GEOGRÁFICA
IMEDIATA DE CURITIBA, REGIÃO
METROPOLITANA DE CURITIBA,
REGIÃO GEOGRÁFICA INTERMEDIÁRIA
DE CURITIBA, PARANÁ, REGIÃO SUL,
81910-470, BRASIL","RUA FILÓSOFO HUBERTO ROHDEN,
SÍTIO CERCADO, CURITIBA, REGIÃO
GEOGRÁFICA IMEDIATA DE CURITIBA,
REGIÃO METROPOLITANA DE
CURITIBA, REGIÃO GEOGRÁFICA
INTERMEDIÁRIA DE CURITIBA,
PARANÁ, REGIÃO SUL, 81900-000,
BRASIL"
"26/04/202
5",15:15,550,007,HE718,ATROPELAMENTO,CICLISTA,1,0,"LINHA VERDE, VILA SÃO PEDRO,
XAXIM, CURITIBA","RUA OMAR RAYMUNDO PICHETH, VILA
SÃO PEDRO, XAXIM, CURITIBA","RUA ARTHUR EUCLIDES MOURA, VILA
SÃO PEDRO, XAXIM, CURITIBA"
